ADM0_EN,ADM0_PCODE,ADM1_EN,ADM1_PCODE,ADM2_EN,ADM2_PCODE,ADM3_EN,ADM3_PCODE,Pop_2019,Pop_urban,Pop_rural,Male,Female,M_00_14,F_00_14,M_15_24,F_15_24,M_25_54,F_25_54,M_55_64,F_55_64,M_65plus,F_65plus,Family,Eth_Sims,Eth_Bajoran,Eth_Talaxian,Eth_Cardassian
Simland,SX,Birtestan,SX01,Andijan,SX0107,Abidabad,SX010701,773394,232018,541375,402165,371229,100541,92807,85073,77339,170147,154679,27069,27069,19335,19335,128899,711522,30936,19335,11601
Simland,SX,Rimpar,SX03,Agnebad,SX0303,Agile,SX030301,22152,2215,19936,11519,10633,2880,2658,2437,2215,4873,4430,775,775,554,554,3692,17721,3323,665,443
Simland,SX,Rimpar,SX03,Markabad,SX0307,Alinaam,SX030701,625819,125164,500655,325426,300393,81356,75098,68840,62582,137680,125164,21904,21904,15645,15645,104303,500655,93873,18775,12516
Simland,SX,Jianmak,SX02,Herbabad,SX0203,Andabad,SX020303,115516,11552,103964,60068,55448,15017,13862,12707,11552,25413,23103,4043,4043,2888,2888,19253,80861,11552,15017,8086
Simland,SX,Jianmak,SX02,Badalapur,SX0204,Badalnagar,SX020401,10132,1013,9118,5268,4863,1317,1216,1114,1013,2229,2026,355,355,253,253,1689,7092,1013,1317,709
Simland,SX,Rimpar,SX03,Naltar,SX0306,Baltis,SX030601,1598838,319768,1279070,831396,767442,207849,191861,175872,159884,351744,319768,55959,55959,39971,39971,266473,1279070,239826,47965,31977
Simland,SX,Jianmak,SX02,Batkabad,SX0202,Bateekh,SX020201,104792,10479,94313,54492,50300,13623,12575,11527,10479,23054,20958,3668,3668,2620,2620,17465,73355,10479,13623,7335
Simland,SX,Jianmak,SX02,Badalapur,SX0204,Boular,SX020402,246140,24614,221526,127993,118147,31998,29537,27075,24614,54151,49228,8615,8615,6153,6153,41023,172298,24614,31998,17230
Simland,SX,Birtestan,SX01,Andijan,SX0107,Darya,SX010703,895621,268686,626935,465723,429898,116431,107475,98518,89562,197037,179124,31347,31347,22391,22391,149270,823971,35825,22391,13434
Simland,SX,Birtestan,SX01,Talabad,SX0103,Delvin,SX010301,95536,9554,85982,49679,45857,12420,11464,10509,9554,21018,19107,3344,3344,2388,2388,15923,87893,3821,2388,1433
Simland,SX,Jianmak,SX02,Samarabad,SX0205,Faisalabad,SX020502,2046737,614021,1432716,1064303,982434,266076,245608,225141,204674,450282,409347,71636,71636,51168,51168,341123,1432716,204674,266076,143272
Simland,SX,Birtestan,SX01,Fergabad,SX0108,Ferguson,SX010802,1727707,518312,1209395,898408,829299,224602,207325,190048,172771,380096,345541,60470,60470,43193,43193,287951,1589490,69108,43193,25916
Simland,SX,Rimpar,SX03,Cassabad,SX0309,Gopiabad,SX030902,566010,169803,396207,294325,271685,73581,67921,62261,56601,124522,113202,19810,19810,14150,14150,94335,452808,84902,16980,11320
Simland,SX,Jianmak,SX02,Batkabad,SX0202,Jamoosabad,SX020202,338044,33804,304239,175783,162261,43946,40565,37185,33804,74370,67609,11832,11832,8451,8451,56341,236631,33804,43946,23663
Simland,SX,Rimpar,SX03,Jizzakh,SX0302,Jarrarbad,SX030201,378865,75773,303092,197010,181855,49252,45464,41675,37886,83350,75773,13260,13260,9472,9472,63144,303092,56830,11366,7577
Simland,SX,Rimpar,SX03,Talashabad,SX0301,Kabir,SX030102,2227047,668114,1558933,1158065,1068983,289516,267246,244975,222705,489950,445409,77947,77947,55676,55676,371175,1781638,334057,66811,44541
Simland,SX,Birtestan,SX01,Magabad,SX0106,Kashabad,SX010601,1296419,388926,907493,674138,622281,168535,155570,142606,129642,285212,259284,45375,45375,32410,32410,216070,1192706,51857,32410,19446
Simland,SX,Birtestan,SX01,Magabad,SX0106,Kashghar,SX010602,1340468,402140,938328,697043,643425,174261,160856,147451,134047,294903,268094,46916,46916,33512,33512,223411,1233231,53619,33512,20107
Simland,SX,Jianmak,SX02,Herbabad,SX0203,Kimabad,SX020301,2489273,746782,1742491,1294422,1194851,323605,298713,273820,248927,547640,497855,87125,87125,62232,62232,414879,1742491,248927,323605,174249
Simland,SX,Jianmak,SX02,Herbabad,SX0203,Loriabad,SX020302,468107,46811,421296,243416,224691,60854,56173,51492,46811,102984,93621,16384,16384,11703,11703,78018,327675,46811,60854,32767
Simland,SX,Rimpar,SX03,Sinjani,SX0308,Lukerabad,SX030802,828994,165799,663195,431077,397917,107769,99479,91189,82899,182379,165799,29015,29015,20725,20725,138166,663195,124349,24870,16580
Simland,SX,Jianmak,SX02,Samarabad,SX0205,Mariabad,SX020501,1248719,249744,998975,649334,599385,162333,149846,137359,124872,274718,249744,43705,43705,31218,31218,208120,874103,124872,162333,87410
Simland,SX,Jianmak,SX02,Fawabad,SX0201,Muyikabad,SX020102,563013,56301,506712,292767,270246,73192,67562,61931,56301,123863,112603,19705,19705,14075,14075,93835,394109,56301,73192,39411
Simland,SX,Birtestan,SX01,Kalabad,SX0105,Neela,SX010502,185500,18550,166950,96460,89040,24115,22260,20405,18550,40810,37100,6492,6492,4637,4637,30917,170660,7420,4637,2782
Simland,SX,Rimpar,SX03,Naltar,SX0306,Nishtar,SX030602,1399045,279809,1119236,727503,671541,181876,167885,153895,139904,307790,279809,48967,48967,34976,34976,233174,1119236,209857,41971,27981
Simland,SX,Rimpar,SX03,Sinjani,SX0308,Rawal,SX030801,895748,268724,627023,465789,429959,116447,107490,98532,89575,197064,179150,31351,31351,22394,22394,149291,716598,134362,26872,17915
Simland,SX,Rimpar,SX03,Agnebad,SX0303,Sababad,SX030303,327391,65478,261913,170243,157148,42561,39287,36013,32739,72026,65478,11459,11459,8185,8185,54565,261913,49109,9822,6548
Simland,SX,Birtestan,SX01,Kalabad,SX0105,Sabza,SX010501,122203,12220,109982,63545,58657,15886,14664,13442,12220,26885,24441,4277,4277,3055,3055,20367,112426,4888,3055,1833
Simland,SX,Jianmak,SX02,Fawabad,SX0201,Sagharbad,SX020103,131448,13145,118303,68353,63095,17088,15774,14459,13145,28919,26290,4601,4601,3286,3286,21908,92014,13145,17088,9201
Simland,SX,Rimpar,SX03,Talashabad,SX0301,Salar,SX030101,2901184,870355,2030829,1508616,1392568,377154,348142,319130,290118,638260,580237,101541,101541,72530,72530,483531,2320947,435178,87036,58024
Simland,SX,Rimpar,SX03,Sirdarya,SX0304,Samirabad,SX030401,167749,50325,117424,87229,80519,21807,20130,18452,16775,36905,33550,5871,5871,4194,4194,27958,134199,25162,5032,3355
Simland,SX,Rimpar,SX03,Cassabad,SX0309,Saraye,SX030901,109820,10982,98838,57106,52714,14277,13178,12080,10982,24160,21964,3844,3844,2745,2745,18303,87856,16473,3295,2196
Simland,SX,Rimpar,SX03,Sirdarya,SX0304,Shakabad,SX030402,538615,161585,377031,280080,258535,70020,64634,59248,53862,118495,107723,18852,18852,13465,13465,89769,430892,80792,16158,10772
Simland,SX,Birtestan,SX01,Talabad,SX0103,Shakira,SX010302,177220,17722,159498,92154,85066,23039,21266,19494,17722,38988,35444,6203,6203,4431,4431,29537,163042,7089,4431,2658
Simland,SX,Rimpar,SX03,Jizzakh,SX0302,Sham,SX030203,274720,27472,247248,142854,131866,35714,32966,30219,27472,60438,54944,9615,9615,6868,6868,45787,219776,41208,8242,5494
Simland,SX,Rimpar,SX03,Markabad,SX0307,Shapir,SX030703,874815,174963,699852,454904,419911,113726,104978,96230,87482,192459,174963,30619,30619,21870,21870,145803,699852,131222,26244,17496
Simland,SX,Rimpar,SX03,Cassabad,SX0309,Shapol,SX030903,138023,27605,110418,71772,66251,17943,16563,15182,13802,30365,27605,4831,4831,3451,3451,23004,110418,20703,4141,2760
Simland,SX,Jianmak,SX02,Fawabad,SX0201,Shoabad,SX020101,929683,278905,650778,483435,446248,120859,111562,102265,92968,204530,185937,32539,32539,23242,23242,154947,650778,92968,120859,65078
