ADM0_EN,ADM0_PCODE,ADM1_EN,ADM1_PCODE,ADM2_EN,ADM2_PCODE,Pop_2019,Pop_urban,Pop_rural,Male,Female,M_00_14,F_00_14,M_15_24,F_15_24,M_25_54,F_25_54,M_55_64,F_55_64,M_65plus,F_65plus,Family,Eth_Sims,Eth_Bajoran,Eth_Talaxian,Eth_Cardassian
Simland,SX,Birtestan,SX01,Andijan,SX0107,2998186,899455,2098730,1559057,1439129,389764,359783,329800,299818,659602,599637,104937,104937,74955,74955,499697,2758330,119928,74955,44973
Simland,SX,Rimpar,SX03,Agnebad,SX0303,463913,79130,384782,241235,222679,60309,55669,51031,46391,102060,92782,16237,16237,11598,11598,77319,371130,69588,13918,9278
Simland,SX,Rimpar,SX03,Markabad,SX0307,2437547,487510,1950037,1267525,1170022,316881,292506,268130,243755,536260,487510,85315,85315,60938,60938,406258,1950037,365632,73126,48750
Simland,SX,Jianmak,SX02,Herbabad,SX0203,3072896,805145,2267751,1597906,1474990,399476,368748,338019,307290,676037,614579,107552,107552,76823,76823,512150,2151027,307290,399476,215102
Simland,SX,Jianmak,SX02,Badalapur,SX0204,256272,25627,230644,133261,123010,33315,30753,28189,25627,56380,51254,8970,8970,6406,6406,42712,179390,25627,33315,17939
Simland,SX,Rimpar,SX03,Naltar,SX0306,2997883,599577,2398306,1558899,1438983,389725,359746,329767,299788,659534,599577,104926,104926,74947,74947,499647,2398306,449683,89936,59958
Simland,SX,Jianmak,SX02,Batkabad,SX0202,442836,44283,398552,230275,212561,57569,53140,48712,44283,97424,88567,15500,15500,11071,11071,73806,309986,44283,57569,30998
Simland,SX,Birtestan,SX01,Talabad,SX0103,272756,27276,245480,141833,130923,35459,32730,30003,27276,60006,54551,9547,9547,6819,6819,45460,250935,10910,6819,4091
Simland,SX,Jianmak,SX02,Samarabad,SX0205,3295456,863765,2431691,1713637,1581819,428409,395454,362500,329546,725000,659091,115341,115341,82386,82386,549243,2306819,329546,428409,230682
Simland,SX,Birtestan,SX01,Fergabad,SX0108,3552863,1065859,2487004,1847489,1705374,461872,426344,390815,355287,781630,710572,124350,124350,88822,88822,592144,3268634,142114,88822,53293
Simland,SX,Rimpar,SX03,Cassabad,SX0309,813853,208390,605463,423203,390650,105801,97662,89523,81385,179047,162771,28485,28485,20346,20346,135642,651082,122078,24416,16276
Simland,SX,Rimpar,SX03,Jizzakh,SX0302,1273974,227323,1046651,662466,611508,165617,152877,140137,127397,280274,254795,44589,44589,31850,31850,212329,1019179,191096,38220,25479
Simland,SX,Rimpar,SX03,Talashabad,SX0301,5128231,1538469,3589762,2666681,2461551,666670,615388,564105,512823,1128210,1025646,179488,179488,128206,128206,854706,4102585,769235,153847,102565
Simland,SX,Birtestan,SX01,Magabad,SX0106,2636887,791066,1845821,1371181,1265706,342796,316426,290057,263689,580115,527378,92291,92291,65922,65922,439481,2425937,105476,65922,39553
Simland,SX,Rimpar,SX03,Sinjani,SX0308,1724742,434523,1290218,896866,827876,224216,206969,189721,172474,379443,344949,60366,60366,43119,43119,287457,1379793,258711,51742,34495
Simland,SX,Jianmak,SX02,Fawabad,SX0201,1624144,348351,1275793,844555,779589,211139,194898,178655,162414,357312,324830,56845,56845,40603,40603,270690,1136901,162414,211139,113690
Simland,SX,Birtestan,SX01,Kalabad,SX0105,1201529,120153,1081375,624795,576733,156198,144183,132168,120153,264337,240306,42053,42053,30038,30038,200255,1105406,48061,30038,18022
Simland,SX,Rimpar,SX03,Sirdarya,SX0304,706364,211910,494455,367309,339054,91827,84764,77700,70637,155400,141273,24723,24723,17659,17659,117727,565091,105954,21190,14127
Simland,SX,Rimpar,SX03,Winterkand,SX0305,3456626,1036988,2419639,1797446,1659181,449361,414795,380228,345662,760458,691325,120982,120982,86416,86416,576104,2765301,518494,103699,69132
